userid,groupid
171,1
456,1
1508,0
1847,2
1992,2
3097,1
3288,2
3296,1
3322,5
4034,2
5571,2
6776,2
6818,5
7241,2
7889,1
8308,1
8755,5
8878,1
9813,1
10109,2
10642,1
11674,1
11678,5
13604,1
13693,1
13816,0
13930,2
14283,2
14597,1
14766,2
15414,1
17225,1
17326,1
17988,1
18035,2
18053,1
18102,2
18112,1
18131,1
18222,2
18233,1
18240,2
18250,2
18255,2
18359,2
18431,2
18447,1
18614,5
18657,1
18911,5
19879,2
21801,2
21809,2
21825,5
21838,2
22185,1
22203,1
22601,0
23155,1
27266,2
30887,1
31364,2
31428,2
32043,1
32390,0
32398,2
36970,2
37147,1
37737,2
41073,2
41469,2
42332,0
42495,1
43034,1
43257,2
43341,1
43860,2
44282,0
45286,1
48576,2
49107,2
50505,2
50853,0
51349,0
55149,5
55332,1
55549,1
56770,0
57253,1
58849,0
60641,2
60975,0
61009,0
61468,2
61520,1
61526,0
61555,2
61945,2
62225,2
63449,1
63607,1
63979,2
72768,0
74626,5
79151,1
79376,2
79986,2
80027,2
80120,2
81145,0
81327,2
88087,2
88149,2
88543,2
99197,0
99619,1
101002,0
101280,0
105890,5
106901,0
107023,2
107389,2
111113,2
111234,2
111461,1
111697,1
112168,1
112199,2
113077,2
114035,2
116942,1
117776,1
118629,2
120300,2
120566,2
122466,2
123421,1
125757,2
127049,5
127811,0
127868,1
128311,2
129836,1
131613,5
132702,2
132771,2
133743,2
137161,0
138291,0
138743,1
143997,2
144071,2
144328,2
144811,0
147690,2
148477,1
151927,0
153234,2
154413,1
155503,2
157535,0
161236,2
161810,1
162244,1
162358,0
164024,5
165863,2
168545,0
173942,0
174197,1
174588,2
177975,2
179556,2
179811,1
179848,2
180264,2
183242,2
184228,2
184544,1
186219,0
188292,2
188372,1
189041,0
191001,0
200387,2
200731,5
204617,2
205200,1
205807,2
206672,0
207323,1
208105,2
211164,2
211207,1
211790,2
212175,0
212393,2
213288,1
213535,2
213637,2
214669,2
215662,0
215688,1
216350,1
219131,2
219464,2
219859,1
224539,2
224776,0
228740,1
228766,2
238037,1
239712,2
239945,2
240597,1
243558,2
243848,2
244237,2
245233,2
246873,2
248329,2
250075,1
250628,2
251723,5
251877,2
252586,2
255203,0
257416,1
257552,2
259362,0
268811,2
275946,0
276119,2
276157,1
276509,1
277352,0
278983,5
281480,2
282019,0
286953,1
287514,0
290303,0
291846,4
296387,1
296694,2
302590,2
305873,0
305907,0
305947,2
309029,0
310624,2
312381,2
314646,2
316436,1
316753,2
316917,2
317615,1
317659,1
319850,5
321846,2
323830,1
324182,1
324380,2
325259,1
326617,1
328523,0
330310,5
330569,2
330596,2
331177,2
331248,2
332701,1
333929,0
334343,2
335008,0
335202,1
338594,2
341217,1
347477,1
354062,2
354411,2
357646,1
357701,0
365339,2
366294,1
372585,1
376378,1
383195,2
387534,2
388229,1
390506,2
392946,1
393712,1
395065,1
398341,1
400793,2
403435,2
407695,2
417169,2
418523,0
