userid,departmentid
28463183,23838811
32550509,28014937
26873555,17192789
27068215,24148455
32552297,27157825
27716292,29225263
32546757,17156669
21301551,25161013
21300512,14149890
27564923,24147790
33419673,33419533
21840187,29737093
17656112,17657506
27024973,26798439
27190199,26541511
25160515,25160516
22056978,23838771
29345668,21640509
25241988,27317942
21863512,25219341
25151239,25164015
21572574,17002381
24431660,24148577
26797107,24146076
24147558,24291620
32844560,32861945
26504442,29271782
25161741,23343630
24624865,17564373
17608328,26640398
21298445,23241634
17742482,4752306
26494152,26621436
25160541,24646403
28186623,21393019
24429473,17327568
25482726,21638426
28059316,24347422
25150373,25150348
24105798,25163474
21360426,21843203
24647809,30393619
24430924,24441699
32859550,32970695
28957084,28957085
33486520,33486521
21832648,21832649
26797071,52678277
21301941,17818576
25163505,25163506
28442552,26538194
21844351,21842335
18033601,13635595
17655635,26619846
32746202,28761470
27462986,21843196
25172685,25234946
27115692,26494325
21842250,21852425
31655131,25152003
25664762,25664763
32129181,21811446
21831780,21852325
16817723,16817724
33235112,32957507
21847658,21840335
27296949,27297139
27108818,52678219
26899712,26899713
27023414,15387784
27797545,27797546
27119858,17655292
27226504,28549704
26998878,21315502
21862553,30364480
21832142,23863455
27211120,28353940
25726222,26648143
21729334,56747778
25216543,28156987
31987387,26641194
23332046,25162111
25691153,26633805
27185466,26645106
25300240,19290740
25376973,26640698
27128542,19875891
21018274,22114501
33030082,24307058
21842221,12744621
32554677,27713224
25160495,25160464
27122353,25159314
27187802,26616446
26507923,60793310
27135850,24342051
26506097,21277959
25177517,26495243
27175683,21844045
27118374,55700592
24642489,17657497
25151095,25150976
28455695,903906
25625350,9998277
26542311,26542312
27260256,27260257
27223932,26624580
27190105,25151944
21838627,21836835
24431680,24441922
21299434,25152234
21860535,8016375
28253565,28581030
31309401,21854823
31226298,24376454
31205274,29737093
29594497,26642958
29705832,21800331
2371396,54148655
1198334,13635595
7077645,16809377
5351708,1864454
4402740,26521338
4315784,8241145
5235396,1864454
5241121,3545166
5240668,4689748
5229342,13887196
5233046,7472687
5221552,2265074
5219775,52638890
5207080,4399980
5180034,12925714
5183277,5230017
5155669,14099862
9802914,13949903
10310733,17757198
13797246,25163853
14085575,4741609
50598619,14129337
58136777,21730015
58360725,21759420
56906822,26641960
22062639,5922776
27075383,24642718
2505475,59247825
2974286,17193545
5239734,30144010
5219447,10778988
5151697,22354452
13710279,13635592
53999951,10779379
55458620,16808966
62024477,6651285
21571782,21593044
32747995,24105723
1074766,10780257
1817046,21843885
624435,24642986
4758501,27311196
5239187,58269947
5217109,26913852
5205877,52638863
50509890,10778963
21764236,16815559
5234785,13972665
11663163,22505157
52404204,29188188
5219792,52638892
54080799,4751419
5241278,7997597
5242168,51664594
5235392,15136624
26503756,30394292
28249977,23721823
27131811,26504581
27072520,26590110
21844296,21863126
4125301,26640779
3136210,52638966
354062,67002550
524602,25163837
5227325,10780353
5224122,14758839
5208309,4978241
10902714,27603674
54033891,14002728
60694068,25162131
5240326,52638964
9019564,26539827
5232272,27827884
29714574,21843619
7623441,26557127
26549434,25962558
27184045,15050265
21305957,26385160
27176257,5967740
27175528,21395773
31225255,65204972
29897462,29225263
2254429,17735152
4724054,18037911
5237947,5237972
5237635,14763317
5235298,14763378
5241933,27436179
5228311,10780015
5228277,13548485
5234165,5235365
5232269,52677777
5196467,26677578
5158121,14837921
5151679,25506629
10674601,4135671
52885175,21853113
52064824,10779930
54958255,21841293
60396161,23852569
59510586,24642020
27529232,27531491
26549011,27368795
26535039,26548072
27186434,22419137
25361897,22718193
25233987,21582685
26053989,24649314
32423351,27661670
2293337,21636961
123421,29652441
8384198,24562877
4736487,27461419
5241181,14837911
5232485,5240584
5204139,15385974
5207160,5236681
5154713,14763313
11353506,21730022
10045770,26647718
16637217,28793534
52554479,1589385
53022321,28241508
53322525,29801521
57996077,25157813
57996085,7961975
66173083,21832463
26483494,26548209
7837430,15050265
8006344,21852719
5227556,10779292
52638686,10490746
5235676,14763344
5220285,5236935
65488888,21852719
25149623,24647793
25374108,3359778
3827323,21308583
3792067,3888793
8315703,52638967
5228655,24452719
14618469,26540187
55883354,2654704
5202006,14763289
25162454,19633583
21314334,25162300
25162424,14763457
31547294,27803346
5230318,14763293
5220128,30619706
5172818,65848962
66900093,25160065
65466799,24920063
27075928,26541453
62774637,4450569
21300316,29669577
31414217,26615346
31337623,27075245
4420385,7396079
5171386,4836711
25428600,65204972
29619116,22167160
2862359,4042996
4721599,32860064
4724571,18037911
5220856,10772238
10465965,28412737
14352192,27176841
59484983,26643332
65195994,28489745
27166884,29271782
5234024,5228271
5183152,14763381
5157794,32511676
5151250,15167945
32827093,26628411
65205136,21862404
9109607,17732561
58827987,21730105
11651621,31594037
5228729,53797292
21846370,66107719
21832970,66107719
5241593,14763684
5218625,10779979
31409524,21826771
29832785,33374810
12597947,27192353
28769598,21576520
5202543,10780320
5239223,10780021
27125267,21682000
4638364,13635592
59071438,21381286
27098527,27184029
28782533,24648596
27680472,21843670
29332985,21591563
27523468,19876045
32157240,21576520
5224657,62725586
29807714,33374810
25151412,8258625
21738431,52677899
21768967,21768968
28446900,1638984
26555607,26555608
27119553,4729505
27067092,21848287
27013691,23341645
25331290,25163020
32662800,24440776
31048537,5908512
3357597,21845881
3348870,28809376
3841217,28049094
5204899,6010382
15260459,27476164
14258871,62195647
52350006,26472840
59806757,26535311
60618448,60618449
4719861,29474843
21841319,24125836
17656536,17656537
32860942,26628411
